Fecha,Día,Mes,Año,Día Nombre,Mes Nombre,Día de descanso,Holiday
05/02/2024,2,5,2024,Thursday                                                                                                                                                                                                                                                       ,May                                                                                                                                                                                                                                                            ,Laborar,NA
05/03/2024,3,5,2024,Friday                                                                                                                                                                                                                                                         ,May                                                                                                                                                                                                                                                            ,Laborar,NA
05/04/2024,4,5,2024,Saturday                                                                                                                                                                                                                                                       ,May                                                                                                                                                                                                                                                            ,Laborar,NA
05/05/2024,5,5,2024,Sunday                                                                                                                                                                                                                                                         ,May                                                                                                                                                                                                                                                            ,Descanso,NA
05/06/2024,6,5,2024,Monday                                                                                                                                                                                                                                                         ,May                                                                                                                                                                                                                                                            ,Laborar,NA
05/07/2024,7,5,2024,Tuesday                                                                                                                                                                                                                                                        ,May                                                                                                                                                                                                                                                            ,Laborar,NA
05/08/2024,8,5,2024,Wednesday                                                                                                                                                                                                                                                      ,May                                                                                                                                                                                                                                                            ,Laborar,NA
05/09/2024,9,5,2024,Thursday                                                                                                                                                                                                                                                       ,May                                                                                                                                                                                                                                                            ,Laborar,NA
05/10/2024,10,5,2024,Friday                                                                                                                                                                                                                                                         ,May                                                                                                                                                                                                                                                            ,Laborar,NA
05/11/2024,11,5,2024,Saturday                                                                                                                                                                                                                                                       ,May                                                                                                                                                                                                                                                            ,Laborar,NA
05/12/2024,12,5,2024,Sunday                                                                                                                                                                                                                                                         ,May                                                                                                                                                                                                                                                            ,Descanso,NA
05/13/2024,13,5,2024,Monday                                                                                                                                                                                                                                                         ,May                                                                                                                                                                                                                                                            ,Laborar,NA
05/14/2024,14,5,2024,Tuesday                                                                                                                                                                                                                                                        ,May                                                                                                                                                                                                                                                            ,Laborar,NA
05/15/2024,15,5,2024,Wednesday                                                                                                                                                                                                                                                      ,May                                                                                                                                                                                                                                                            ,Laborar,NA
05/16/2024,16,5,2024,Thursday                                                                                                                                                                                                                                                       ,May                                                                                                                                                                                                                                                            ,Laborar,NA
05/17/2024,17,5,2024,Friday                                                                                                                                                                                                                                                         ,May                                                                                                                                                                                                                                                            ,Laborar,NA
05/18/2024,18,5,2024,Saturday                                                                                                                                                                                                                                                       ,May                                                                                                                                                                                                                                                            ,Laborar,NA
05/19/2024,19,5,2024,Sunday                                                                                                                                                                                                                                                         ,May                                                                                                                                                                                                                                                            ,Descanso,NA
05/20/2024,20,5,2024,Monday                                                                                                                                                                                                                                                         ,May                                                                                                                                                                                                                                                            ,Laborar,NA
05/21/2024,21,5,2024,Tuesday                                                                                                                                                                                                                                                        ,May                                                                                                                                                                                                                                                            ,Laborar,NA
05/22/2024,22,5,2024,Wednesday                                                                                                                                                                                                                                                      ,May                                                                                                                                                                                                                                                            ,Laborar,NA
05/23/2024,23,5,2024,Thursday                                                                                                                                                                                                                                                       ,May                                                                                                                                                                                                                                                            ,Laborar,NA
05/24/2024,24,5,2024,Friday                                                                                                                                                                                                                                                         ,May                                                                                                                                                                                                                                                            ,Laborar,NA
05/25/2024,25,5,2024,Saturday                                                                                                                                                                                                                                                       ,May                                                                                                                                                                                                                                                            ,Laborar,NA
05/26/2024,26,5,2024,Sunday                                                                                                                                                                                                                                                         ,May                                                                                                                                                                                                                                                            ,Descanso,NA
05/27/2024,27,5,2024,Monday                                                                                                                                                                                                                                                         ,May                                                                                                                                                                                                                                                            ,Laborar,NA
05/28/2024,28,5,2024,Tuesday                                                                                                                                                                                                                                                        ,May                                                                                                                                                                                                                                                            ,Laborar,NA
05/29/2024,29,5,2024,Wednesday                                                                                                                                                                                                                                                      ,May                                                                                                                                                                                                                                                            ,Laborar,NA
05/30/2024,30,5,2024,Thursday                                                                                                                                                                                                                                                       ,May                                                                                                                                                                                                                                                            ,Laborar,NA
05/31/2024,31,5,2024,Friday                                                                                                                                                                                                                                                         ,May                                                                                                                                                                                                                                                            ,Laborar,NA
06/01/2024,1,6,2024,Saturday                                                                                                                                                                                                                                                       ,June                                                                                                                                                                                                                                                           ,Laborar,NA
06/02/2024,2,6,2024,Sunday                                                                                                                                                                                                                                                         ,June                                                                                                                                                                                                                                                           ,Descanso,NA
06/03/2024,3,6,2024,Monday                                                                                                                                                                                                                                                         ,June                                                                                                                                                                                                                                                           ,Laborar,NA
06/04/2024,4,6,2024,Tuesday                                                                                                                                                                                                                                                        ,June                                                                                                                                                                                                                                                           ,Laborar,NA
06/05/2024,5,6,2024,Wednesday                                                                                                                                                                                                                                                      ,June                                                                                                                                                                                                                                                           ,Laborar,NA
06/06/2024,6,6,2024,Thursday                                                                                                                                                                                                                                                       ,June                                                                                                                                                                                                                                                           ,Laborar,NA
06/07/2024,7,6,2024,Friday                                                                                                                                                                                                                                                         ,June                                                                                                                                                                                                                                                           ,Laborar,NA
06/08/2024,8,6,2024,Saturday                                                                                                                                                                                                                                                       ,June                                                                                                                                                                                                                                                           ,Laborar,NA
06/09/2024,9,6,2024,Sunday                                                                                                                                                                                                                                                         ,June                                                                                                                                                                                                                                                           ,Descanso,NA
06/10/2024,10,6,2024,Monday                                                                                                                                                                                                                                                         ,June                                                                                                                                                                                                                                                           ,Laborar,NA
06/11/2024,11,6,2024,Tuesday                                                                                                                                                                                                                                                        ,June                                                                                                                                                                                                                                                           ,Laborar,NA
06/12/2024,12,6,2024,Wednesday                                                                                                                                                                                                                                                      ,June                                                                                                                                                                                                                                                           ,Laborar,NA
06/13/2024,13,6,2024,Thursday                                                                                                                                                                                                                                                       ,June                                                                                                                                                                                                                                                           ,Laborar,NA
06/14/2024,14,6,2024,Friday                                                                                                                                                                                                                                                         ,June                                                                                                                                                                                                                                                           ,Laborar,NA
06/15/2024,15,6,2024,Saturday                                                                                                                                                                                                                                                       ,June                                                                                                                                                                                                                                                           ,Laborar,NA
06/16/2024,16,6,2024,Sunday                                                                                                                                                                                                                                                         ,June                                                                                                                                                                                                                                                           ,Descanso,NA
06/17/2024,17,6,2024,Monday                                                                                                                                                                                                                                                         ,June                                                                                                                                                                                                                                                           ,Laborar,NA
06/18/2024,18,6,2024,Tuesday                                                                                                                                                                                                                                                        ,June                                                                                                                                                                                                                                                           ,Laborar,NA
06/19/2024,19,6,2024,Wednesday                                                                                                                                                                                                                                                      ,June                                                                                                                                                                                                                                                           ,Laborar,NA
06/20/2024,20,6,2024,Thursday                                                                                                                                                                                                                                                       ,June                                                                                                                                                                                                                                                           ,Laborar,NA
06/21/2024,21,6,2024,Friday                                                                                                                                                                                                                                                         ,June                                                                                                                                                                                                                                                           ,Laborar,NA
06/22/2024,22,6,2024,Saturday                                                                                                                                                                                                                                                       ,June                                                                                                                                                                                                                                                           ,Laborar,NA
06/23/2024,23,6,2024,Sunday                                                                                                                                                                                                                                                         ,June                                                                                                                                                                                                                                                           ,Descanso,NA
06/24/2024,24,6,2024,Monday                                                                                                                                                                                                                                                         ,June                                                                                                                                                                                                                                                           ,Laborar,NA
06/25/2024,25,6,2024,Tuesday                                                                                                                                                                                                                                                        ,June                                                                                                                                                                                                                                                           ,Laborar,NA
06/26/2024,26,6,2024,Wednesday                                                                                                                                                                                                                                                      ,June                                                                                                                                                                                                                                                           ,Laborar,NA
06/27/2024,27,6,2024,Thursday                                                                                                                                                                                                                                                       ,June                                                                                                                                                                                                                                                           ,Laborar,NA
06/28/2024,28,6,2024,Friday                                                                                                                                                                                                                                                         ,June                                                                                                                                                                                                                                                           ,Laborar,NA
06/29/2024,29,6,2024,Saturday                                                                                                                                                                                                                                                       ,June                                                                                                                                                                                                                                                           ,Laborar,NA
06/30/2024,30,6,2024,Sunday                                                                                                                                                                                                                                                         ,June                                                                                                                                                                                                                                                           ,Descanso,NA
07/01/2024,1,7,2024,Monday                                                                                                                                                                                                                                                         ,July                                                                                                                                                                                                                                                           ,Laborar,NA
07/02/2024,2,7,2024,Tuesday                                                                                                                                                                                                                                                        ,July                                                                                                                                                                                                                                                           ,Laborar,NA
07/03/2024,3,7,2024,Wednesday                                                                                                                                                                                                                                                      ,July                                                                                                                                                                                                                                                           ,Laborar,NA
07/04/2024,4,7,2024,Thursday                                                                                                                                                                                                                                                       ,July                                                                                                                                                                                                                                                           ,Laborar,NA
07/05/2024,5,7,2024,Friday                                                                                                                                                                                                                                                         ,July                                                                                                                                                                                                                                                           ,Laborar,NA
07/06/2024,6,7,2024,Saturday                                                                                                                                                                                                                                                       ,July                                                                                                                                                                                                                                                           ,Laborar,NA
07/07/2024,7,7,2024,Sunday                                                                                                                                                                                                                                                         ,July                                                                                                                                                                                                                                                           ,Descanso,NA
07/08/2024,8,7,2024,Monday                                                                                                                                                                                                                                                         ,July                                                                                                                                                                                                                                                           ,Laborar,NA
07/09/2024,9,7,2024,Tuesday                                                                                                                                                                                                                                                        ,July                                                                                                                                                                                                                                                           ,Laborar,NA
07/10/2024,10,7,2024,Wednesday                                                                                                                                                                                                                                                      ,July                                                                                                                                                                                                                                                           ,Laborar,NA
07/11/2024,11,7,2024,Thursday                                                                                                                                                                                                                                                       ,July                                                                                                                                                                                                                                                           ,Laborar,NA
07/12/2024,12,7,2024,Friday                                                                                                                                                                                                                                                         ,July                                                                                                                                                                                                                                                           ,Laborar,NA
07/13/2024,13,7,2024,Saturday                                                                                                                                                                                                                                                       ,July                                                                                                                                                                                                                                                           ,Laborar,NA
07/14/2024,14,7,2024,Sunday                                                                                                                                                                                                                                                         ,July                                                                                                                                                                                                                                                           ,Descanso,NA
07/15/2024,15,7,2024,Monday                                                                                                                                                                                                                                                         ,July                                                                                                                                                                                                                                                           ,Laborar,NA
07/16/2024,16,7,2024,Tuesday                                                                                                                                                                                                                                                        ,July                                                                                                                                                                                                                                                           ,Laborar,NA
07/17/2024,17,7,2024,Wednesday                                                                                                                                                                                                                                                      ,July                                                                                                                                                                                                                                                           ,Laborar,NA
07/18/2024,18,7,2024,Thursday                                                                                                                                                                                                                                                       ,July                                                                                                                                                                                                                                                           ,Laborar,NA
07/19/2024,19,7,2024,Friday                                                                                                                                                                                                                                                         ,July                                                                                                                                                                                                                                                           ,Laborar,NA
07/20/2024,20,7,2024,Saturday                                                                                                                                                                                                                                                       ,July                                                                                                                                                                                                                                                           ,Laborar,NA
07/21/2024,21,7,2024,Sunday                                                                                                                                                                                                                                                         ,July                                                                                                                                                                                                                                                           ,Descanso,NA
07/22/2024,22,7,2024,Monday                                                                                                                                                                                                                                                         ,July                                                                                                                                                                                                                                                           ,Laborar,NA
07/23/2024,23,7,2024,Tuesday                                                                                                                                                                                                                                                        ,July                                                                                                                                                                                                                                                           ,Laborar,NA
